system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00279] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00283] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04865] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.18470] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.18481] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.18549] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.18551] al_display=01C73920
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.18553] al_display->vt=01C73858
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.19494] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.19497] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19500] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19501] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19503] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19507] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19508] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19510] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19513] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19515] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19517] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19518] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19520] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19522] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19524] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19525] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19527] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19528] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19531] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19534] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19535] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19542] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19544] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19546] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19548] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19550] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19551] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19553] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19555] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19557] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.19558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19560] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19562] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19564] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.19565] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19567] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.19568] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19570] Score is : 721
